food_id,food_name,food_type,meal_suitability,diet_type,ingredients,allergens,calories_per_100g,protein_g,carbs_g,fat_g,fiber_g,default_serving_g,min_serving_g,max_serving_g,vata_effect,pitta_effect,kapha_effect,agni_suitability,rasa,guna,virya,vipaka,best_for,avoid_or_limit_when
L001,Rice with Dal Tadka,Dish,Lunch|Dinner,Vegan,basmati_rice|moong_dal|cumin|turmeric|ginger|oil|salt,None,130,5,26,1.5,2,350,250,400,balancing,balancing,balancing,Samagni,Madhura,Laghu,Ushna,Madhura,light_staple_meal,none
L002,Khichdi with Ghee,Dish,Lunch|Dinner,Vegan,basmati_rice|moong_dal|ghee|cumin|turmeric|ginger|salt,None,145,5,27,2.5,2,300,250,350,balancing,balancing,balancing,Mandagni|Samagni,Madhura,Laghu,Ushna,Madhura,comfort_easy_digest,none
L003,Chana Masala,Dish,Lunch|Dinner,Vegan,chickpeas|onion|tomato|ginger|garlic|cumin|coriander|turmeric|chili_powder|oil,None,160,9,20,5,5,250,200,300,balancing,increases,increases,Tikshnagni,Madhura|Katu,Laghu,Ushna,Katu,protein_rich_lunch,pitta_excess|kapha_excess
L004,Palak Paneer,Dish,Lunch|Dinner,Vegetarian,spinach|paneer|onion|tomato|ginger|garlic|cream|ghee,milk|gluten,200,15,6,12,2,250,200,300,balancing,increases,increases,Tikshnagni,Madhura|Katu,Guru,Ushna,Madhura,iron_rich_protein,pitta_excess|kapha_excess
L005,Vegetable Sambar,Dish,Lunch|Dinner,Vegan,lentils|okra|carrot|drumstick|turmeric|chili|cumin|oil|tamarind|salt,None,90,5,15,1.5,3,350,250,400,balancing,balancing,balancing,Samagni,Kashaya|Madhura,Laghu,Ushna,Madhura,light_veggie_south_indian,none
L006,Rajma Chawal,Dish,Lunch|Dinner,Vegan,kidney_beans|basmati_rice|onion|tomato|ginger|garlic|cumin|chili|oil,None,135,6,24,1.5,3,350,300,400,balancing,increases,increases,Tikshnagni,Madhura|Katu,Laghu,Ushna,Madhura,protein_carb_lunch,pitta_excess|kapha_excess
L007,Toor Dal with Rice,Dish,Lunch|Dinner,Vegan,toor_dal|basmati_rice|cumin|turmeric|asafetida|oil|salt,None,140,6,26,1,2.5,350,250,400,balancing,balancing,moderate,Samagni,Madhura,Laghu,Ushna,Madhura,warming_staple,none
L008,Vegetable Biryani,Dish,Lunch|Dinner,Vegetarian,basmati_rice|potato|carrot|green_peas|onion|mint|ghee|yogurt|saffron,milk|gluten,180,5,28,6,2,300,250,350,increases,increases,increases,Tikshnagni,Madhura,Guru,Ushna,Madhura,festive_rich_meal,vata_excess|pitta_excess|kapha_excess
L009,Moong Sprout Salad,Dish,Lunch|Dinner,Vegan,moong_sprouts|cucumber|tomato|lime_juice|cumin|salt|oil,None,80,4,12,2,2,250,150,300,increases,decreases,decreases,Tikshnagni|Samagni,Madhura|Katu,Laghu,Sheeta,Madhura,cooling_light_lunch,none
L010,Vegetable Pulao,Dish,Lunch|Dinner,Vegan,basmati_rice|carrot|green_peas|cauliflower|onion|ghee|cumin|bay_leaf,None,155,4,28,3,2,300,250,350,balancing,balancing,moderate,Samagni,Madhura,Laghu,Ushna,Madhura,warming_comfort_meal,kapha_excess
L011,Curd Rice,Dish,Lunch|Dinner,Vegetarian,basmati_rice|yogurt|green_chilies|ginger|mustard_seeds|curry_leaves|ghee,milk|gluten,120,3,22,2,1,300,250,350,balancing,decreases,moderate,Mandagni|Samagni,Madhura,Laghu,Sheeta,Madhura,cool_comfort_meal,none
L012,Aduki Bean Stew,Dish,Lunch|Dinner,Vegan,aduki_beans|carrot|celery|onion|turmeric|cumin|oil|salt,None,125,8,18,2,4,300,250,350,balancing,balancing,increases,Samagni|Tikshnagni,Madhura,Laghu,Ushna,Madhura,protein_warming_lunch,kapha_excess
S001,Apple with Almond Butter,Dish,Snack,Vegan,apple|almond_butter|honey,nuts,260,8,22,17,4,150,100,150,increases,balancing,decreases,Tikshnagni,Madhura,Guru,Ushna,Madhura,energy_boost_snack,vata_excess|kapha_excess
S002,Banana with Sesame,Dish,Snack,Vegan,banana|sesame_seeds|honey,None,180,4,28,8,2.5,150,100,150,balancing,increases,increases,Samagni|Tikshnagni,Madhura,Guru,Ushna,Madhura,sweet_warming_snack,pitta_excess|kapha_excess
S003,Roasted Chickpea Snack,Dish,Snack,Vegan,chickpeas|cumin|chili|salt|oil,None,220,12,22,8,5,100,75,120,balancing,increases,increases,Tikshnagni,Madhura|Katu,Laghu,Ushna,Katu,savory_crunchy_snack,pitta_excess|kapha_excess
S004,Coconut Date Balls,Dish,Snack,Vegan,coconut|dates|ginger|cardamom,None,280,3,35,14,2,80,60,100,balancing,balancing,increases,Tikshnagni,Madhura,Guru,Ushna,Madhura,energy_sweet_snack,kapha_excess
S005,Mung Bean Soup,Dish,Snack,Vegan,moong_dal|water|ginger|cumin|turmeric|oil|salt,None,100,5,16,1,2.5,250,200,300,balancing,balancing,balancing,Mandagni|Samagni,Madhura,Laghu,Ushna,Madhura,light_warm_snack,none
S006,Sesame Laddu,Dish,Snack,Vegan,sesame_seeds|jaggery|ghee,None,480,13,48,27,2,50,40,60,increases,increases,increases,Tikshnagni,Madhura,Guru,Ushna,Madhura,dense_energy_sweet,vata_excess|pitta_excess|kapha_excess
S007,Dates and Almonds,Dish,Snack,Vegan,dates|almonds|salt,nuts,380,11,42,20,4,100,75,120,increases,balancing,decreases,Tikshnagni,Madhura,Guru,Ushna,Madhura,nourishing_energetic_snack,vata_excess
S008,Fresh Fruit Salad,Dish,Snack,Vegan,apple|banana|pomegranate|lime|honey,None,80,1,20,0.5,2,200,150,250,increases,balancing,decreases,Tikshnagni|Samagni,Madhura,Laghu,Sheeta,Madhura,cool_fresh_snack,none
S009,Puffed Rice with Jaggery,Dish,Snack,Vegan,puffed_rice|jaggery|peanuts|salt|oil,peanuts,220,5,45,3,1,80,60,100,increases,balancing,increases,Tikshnagni,Madhura,Laghu,Ushna,Madhura,light_quick_snack,kapha_excess
S010,Cucumber Raita Snack,Dish,Snack,Vegetarian,cucumber|yogurt|cumin|salt|mint,milk,50,2,6,2,0.5,200,150,250,decreases,decreases,moderate,Mandagni|Samagni,Madhura|Katu,Laghu,Sheeta,Madhura,cool_probiotic_snack,none
D001,Vegetable Soup,Dish,Dinner,Vegan,carrot|celery|onion|tomato|turmeric|cumin|oil|salt,None,50,2,8,1,1.5,350,250,400,balancing,balancing,decreases,Mandagni|Samagni,Madhura|Katu,Laghu,Ushna,Madhura,light_warm_dinner_start,none
D002,Lentil Soup with Ginger,Dish,Dinner,Vegan,red_lentils|water|ginger|turmeric|cumin|ghee|salt,None,90,6,15,1,3,300,250,350,balancing,balancing,balancing,Mandagni|Samagni,Madhura,Laghu,Ushna,Madhura,warming_easy_dinner,none
D003,Butternut Squash Curry,Dish,Dinner,Vegan,butternut_squash|onion|ginger|garlic|cumin|turmeric|coconut_milk|oil,None,120,2,18,5,2,250,200,300,increases,increases,moderate,Samagni,Madhura,Laghu,Ushna,Madhura,sweet_warm_dinner,none
D004,Spinach and Lentil Dal,Dish,Dinner,Vegan,spinach|red_lentils|onion|ginger|garlic|turmeric|oil|salt,None,100,7,14,1.5,2.5,300,250,350,balancing,decreases,balancing,Mandagni|Samagni,Madhura|Katu,Laghu,Ushna,Madhura,nourishing_iron_dinner,none
D005,Tofu Vegetable Stir-Fry,Dish,Dinner,Vegan,tofu|broccoli|carrot|ginger|garlic|soy_sauce|sesame_oil,soy|sesame,140,16,6,7,2,250,200,300,balancing,increases,moderate,Samagni|Tikshnagni,Madhura|Katu,Laghu,Ushna,Madhura,protein_light_dinner,pitta_excess
D006,Mung Dal Curry,Dish,Dinner,Vegan,moong_dal|carrot|turmeric|cumin|ginger|oil|salt,None,110,7,17,1.5,2,300,250,350,balancing,balancing,balancing,Mandagni|Samagni,Madhura,Laghu,Ushna,Madhura,mild_easy_dinner,none
D007,Chickpea Curry Light,Dish,Dinner,Vegan,chickpeas|tomato|onion|ginger|turmeric|cumin|oil|salt,None,145,8,20,4,4,250,200,300,balancing,increases,increases,Tikshnagni|Samagni,Madhura|Katu,Laghu,Ushna,Madhura,protein_warming_dinner,pitta_excess|kapha_excess
D008,Toor Dal and Vegetable,Dish,Dinner,Vegan,toor_dal|carrot|green_beans|onion|turmeric|cumin|oil|salt,None,105,6,18,1,2.5,300,250,350,balancing,balancing,moderate,Mandagni|Samagni,Madhura,Laghu,Ushna,Madhura,traditional_light_dinner,none
D009,Vegetable Barley Risotto,Dish,Dinner,Vegan,barley|carrot|peas|onion|turmeric|ghee|vegetable_broth,gluten,125,4,22,2.5,3,300,250,350,balancing,balancing,moderate,Mandagni|Samagni,Madhura,Laghu,Ushna,Madhura,whole_grain_dinner,none
D010,Buckwheat Noodles with Veggies,Dish,Dinner,Vegan,buckwheat|carrot|zucchini|broccoli|garlic|oil,None,140,5,26,2,3,250,200,300,balancing,balancing,balancing,Samagni|Tikshnagni,Madhura,Laghu,Ushna,Madhura,light_alternative_dinner,none
W001,Ghee,Ingredient,Lunch|Dinner,Vegan,ghee,dairy,882,0.1,0,99,0,5,1,10,increases,increases,increases,Tikshnagni,Madhura,Guru,Ushna,Madhura,carrier_oil_ghee,vata_excess|pitta_excess|kapha_excess
W002,Coconut Oil,Ingredient,Lunch|Dinner|Snack,Vegan,coconut_oil,None,892,0,0,100,0,5,1,10,increases,increases,increases,Tikshnagni,Madhura,Guru,Ushna,Madhura,carrier_oil_coconut,vata_excess|pitta_excess|kapha_excess
W003,Turmeric Powder,Ingredient,Lunch|Dinner,Vegan,turmeric,None,312,10,67,4,21,2,0.5,5,balancing,decreases,balancing,Samagni|Tikshnagni,Katu|Tikta,Laghu,Ushna,Katu,anti_inflam_spice,none
W004,Ginger Powder,Ingredient,Lunch|Dinner|Breakfast,Vegan,ginger,None,271,9,58,3,9,2,0.5,5,balancing,increases,balancing,Tikshnagni|Samagni,Katu,Laghu,Ushna,Madhura,digestive_spice,pitta_excess
W005,Cumin Seeds,Ingredient,Lunch|Dinner,Vegan,cumin,None,375,18,44,22,11,2,0.5,5,balancing,balancing,balancing,Samagni|Tikshnagni,Katu,Laghu,Ushna,Madhura,digestive_spice,none
W006,Coriander Powder,Ingredient,Lunch|Dinner,Vegan,coriander,None,298,12,55,17,41,2,0.5,5,balancing,decreases,balancing,Samagni,Katu|Madhura,Laghu,Sheeta,Madhura,cooling_spice,pitta_excess
W007,Asafetida,Ingredient,Lunch|Dinner,Vegan,asafetida,None,440,10,65,20,25,0.5,0.1,1,balancing,balancing,balancing,Samagni|Tikshnagni,Katu,Laghu,Ushna,Madhura,digestive_aid_spice,none
W008,Black Mustard Seeds,Ingredient,Lunch|Dinner|Snack,Vegan,mustard_seeds,None,469,26,28,36,12,2,0.5,5,increases,increases,increases,Tikshnagni,Katu,Laghu,Ushna,Katu,stimulating_spice,pitta_excess|kapha_excess
W009,Cardamom Pods,Ingredient,Lunch|Dinner|Breakfast|Snack,Vegan,cardamom,None,311,11,68,7,28,1,0.2,3,balancing,decreases,decreases,Samagni|Tikshnagni,Katu|Madhura,Laghu,Ushna,Madhura,aromatic_digestive_spice,none
W010,Curry Leaves,Ingredient,Lunch|Dinner|Breakfast,Vegan,curry_leaves,None,92,2,13,2,13,3,1,5,increases,decreases,decreases,Samagni|Tikshnagni,Katu,Laghu,Ushna,Madhura,aromatic_herb_fresh,none
W011,Fresh Ginger Root,Ingredient,Lunch|Dinner|Breakfast,Vegan,ginger_root,None,80,2,18,0.7,2,20,5,30,balancing,increases,balancing,Tikshnagni|Samagni,Katu,Laghu,Ushna,Madhura,fresh_digestive_root,pitta_excess
W012,Garlic,Ingredient,Lunch|Dinner,Vegan,garlic,None,149,7,33,0.5,2,3,1,5,increases,increases,increases,Tikshnagni,Katu,Laghu,Ushna,Madhura,heating_pungent_bulb,vata_excess|pitta_excess|kapha_excess
W013,Lime Juice,Ingredient,Lunch|Dinner,Vegan,lime,None,30,0.7,11,0.2,0.6,30,15,50,balancing,increases,decreases,Tikshnagni|Samagni,Katu|Amla,Laghu,Sheeta,Katu,sour_citrus_juice,pitta_excess
W014,Jaggery,Ingredient,Lunch|Dinner|Breakfast|Snack,Vegan,jaggery,None,383,0.4,95,0.3,0,10,5,20,increases,increases,increases,Tikshnagni,Madhura,Guru,Ushna,Madhura,sweet_whole_sugar,vata_excess|pitta_excess|kapha_excess
W015,Honey,Ingredient,Snack,Vegan,honey,None,304,0.3,82,0,0.2,10,5,20,increases,balancing,decreases,Tikshnagni,Madhura,Laghu,Ushna,Madhura,sweet_light_nectar,none
